date,open,high,close,low,volume,amount
2017-12-29,13.86,13.93,13.88,13.77,4265721.0,84010599.0
2017-12-28,13.84,14.13,13.73,13.72,6954581.0,137739903.0
2017-12-27,13.88,14.19,14.0,13.38,8035278.0,157834435.0
2017-12-26,14.1,14.3,14.26,14.08,5205690.0,105217165.0
2017-12-25,14.67,14.67,14.13,14.07,7430278.0,151018565.0
2017-12-22,14.82,15.1,14.76,14.73,4312199.0,91422174.0
2017-12-21,14.91,14.98,14.84,14.52,6762503.0,142146638.0
2017-12-20,15.61,15.61,15.04,15.0,8268500.0,178217010.0
2017-12-19,15.8,15.97,15.63,15.54,6040640.0,135016033.0
2017-12-18,16.04,16.25,15.8,15.66,6892115.0,155517780.0
2017-12-15,15.87,16.39,16.17,15.87,11727167.0,269425295.0
2017-12-14,15.76,15.8,15.66,15.54,4872520.0,108299325.0
2017-12-13,15.7,15.81,15.79,15.59,5269564.0,117693981.0
2017-12-12,15.7,15.88,15.68,15.56,5355986.0,119323930.0
2017-12-11,15.61,16.04,15.89,15.61,8570919.0,192690851.0
2017-12-08,15.51,15.89,15.59,15.38,7852992.0,174945092.0
2017-12-07,15.33,15.57,15.47,15.16,6119969.0,133498643.0
2017-12-06,15.12,15.41,15.41,14.92,6356347.0,137249373.0
2017-12-05,15.68,15.72,15.12,14.9,9017438.0,195517857.0
2017-12-04,15.32,15.95,15.77,15.14,9668724.0,214263527.0
2017-12-01,15.06,15.54,15.33,15.04,6867498.0,150242037.0
2017-11-30,15.16,15.33,15.04,14.93,4808024.0,103316487.0
2017-11-29,15.39,15.4,15.16,14.93,6259950.0,135103610.0
2017-11-28,14.82,15.58,15.47,14.82,6645219.0,143984248.0
2017-11-27,15.47,15.67,14.89,14.83,6570260.0,143071057.0
2017-11-24,15.83,16.14,15.52,15.47,8344728.0,186080886.0
2017-11-23,16.88,16.92,15.92,15.89,14914073.0,347376571.0
2017-11-22,17.4,17.85,17.21,16.96,14155659.0,352009073.0
2017-11-21,17.02,17.53,17.38,16.9,12762936.0,313575757.0
2017-11-20,16.74,17.22,17.2,16.06,11808383.0,279848331.0
2017-11-17,17.22,17.72,16.96,16.79,16069077.0,393532653.0
2017-11-16,17.37,17.91,17.29,17.23,15131471.0,377246279.0
2017-11-15,18.66,18.77,17.2,17.07,22491018.0,570519157.0
2017-11-14,19.34,19.45,18.85,18.81,21081947.0,570631036.0
2017-11-13,18.34,19.55,19.32,18.01,29602614.0,799995151.0
2017-11-10,18.66,19.12,18.36,18.34,17876643.0,474996098.0
2017-11-09,18.58,18.89,18.77,18.36,14760422.0,392500734.0
2017-11-08,18.99,19.24,18.63,18.57,19690951.0,526531291.0
2017-11-07,17.79,18.91,18.89,17.71,24848545.0,651234460.0
2017-11-06,17.47,17.91,17.82,17.23,9847927.0,246832902.0
2017-11-03,17.89,18.39,17.52,17.33,14618106.0,371216278.0
2017-11-02,17.7,18.55,18.09,17.39,19389739.0,498687531.0
2017-11-01,17.72,18.06,17.88,17.51,13360867.0,339294862.0
2017-10-31,17.33,17.87,17.72,17.25,13070738.0,327133321.0
2017-10-30,17.14,17.71,17.48,16.32,17394522.0,422706837.0
2017-10-27,17.82,17.94,17.15,17.13,11877760.0,296700122.0
2017-10-26,17.64,18.06,17.96,17.5,13229469.0,334547233.0
2017-10-25,17.58,17.84,17.73,17.45,11511431.0,288562979.0
2017-10-24,17.75,17.92,17.77,17.36,15938644.0,399966789.0
2017-10-23,18.71,18.98,17.99,17.88,21658545.0,564042845.0
2017-10-20,18.85,19.39,18.99,18.5,21220327.0,570391213.0
2017-10-19,18.47,19.76,19.18,18.29,28572543.0,768192986.0
2017-10-18,18.39,18.78,18.34,17.77,22862708.0,597285829.0
2017-10-17,18.85,19.05,18.14,17.97,30107129.0,792231347.0
2017-10-16,19.49,20.79,19.67,19.47,35166175.0,998870597.0
2017-10-13,21.87,21.87,19.48,18.29,55143480.0,1600148884.0
2017-10-12,19.88,19.88,19.88,19.88,1193131.0,33729813.0
2017-07-31,17.13,18.93,18.08,16.96,45534082.0,1183036244.0
